DI_Code	DI_Term	SCT_ID	SCT_Description	Primary_Code1	Primary_Term1	Primary_Code2	Primary_Term2	Primary_Code3	Primary_Term3	Primary_Code4	Primary_Term4	Y_Code1	Y_Term1	Y_Code2	Y_Term2	Y_Code3	Y_Term3	Z_code1	Z_Term1	Z_code2	Z_Term2	Z_code3	Z_Term3	Z_code4	Z_Term4	Z_code5	Z_Term5	O_Code	O_Term	Annotation
CSLLR	CT Sinogram lower limb Right	811281000000105	Computed tomography sinogram of lower limb (procedure)	U35.5	Computed tomography angiography							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z90.9	Leg region NEC											
CSNRTJ	CT Guided nerve root injection sacral	429930009	Injection of sacral spinal nerve root using computed tomography guidance (procedure)	A57.7	Injection of therapeutic substance around spinal nerve root							Y53.3	Approach to organ under computed tomography scan control					Z07.8	Specified spinal nerve root NEC											
CSORG	CT Solid organ injury	713912000	Computed tomography of trunk for assessment for solid organ injury (procedure)	U21.2	Computed tomography NEC							Y98.3	Radiology of three body areas (or 20-40 minutes)					Z92.7	Trunk NEC											
CSPINY	CT Angiogram spine	443426000	Computed tomography angiography of vascular structure of spine (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)															O16.2	Spine NEC	
CSTENS	CT Guided stent insertion	430434007	Insertion of stent using computed tomography guidance (procedure)	#HLT																										
CSTET	CT Stereotaxis	241523002	Computed tomography stereotactic localization (procedure)	#HLT																										
CSTOMC	CT Stomach with contrast	764580004	Computed tomography of stomach with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z27.2	Stomach											
CSTRM	CT Sternum	429874005	Computed tomography of sternum (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z74.2	Sternum NEC											
CSULB	CT Sinogram upper limb Both	811271000000108	Computed tomography sinogram of upper limb (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z89.9	Arm NEC											
CSULL	CT Sinogram upper limb Left	811271000000108	Computed tomography sinogram of upper limb (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
CSULR	CT Sinogram upper limb Right	811271000000108	Computed tomography sinogram of upper limb (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
CTABPC	CT Thorax Abdo pelvis oral contrast only	726552004	Computed tomography of thorax, abdomen and pelvis with oral contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.3	Radiology of three body areas (or 20-40 minutes)			Z92.4	Chest NEC	Z92.6	Abdomen NEC							O16.1	Pelvis NEC	
CTAPD	DECT Thorax abdomen and pelvis	721041002	Dual energy computed tomography of thorax, abdomen and pelvis (procedure)	U21.2	Computed tomography NEC							Y98.3	Radiology of three body areas (or 20-40 minutes)					Z92.4	Chest NEC	Z92.6	Abdomen NEC							O16.1	Pelvis NEC	
CTAPIC	CT Thorax Abdo pelvis oral and IV Cont	764731006	Computed tomography of thorax, abdomen and pelvis with oral and intravenous contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.3	Radiology of three body areas (or 20-40 minutes)			Z92.4	Chest NEC	Z92.6	Abdomen NEC							O16.1	Pelvis NEC	
CTATP	CT Angio triple phase for TAVI workup	1095311000000105	Computed tomography triple phase angiography for transcatheter aortic valve implantation planning (procedure)	#HLT																										
CTAVI	CT Angiography for TAVI workup	726631002	Computed tomography angiography for transcatheter aortic valve implantation planning (procedure)	#HLT																										
CTBNBC	CT Temporal bone with contrast Both	700246004	Computed tomography of temporal bone with contrast (procedure)	U13.6	Computed tomography of bone							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z63.3	Temporal bone											
CTBNLC	CT Temporal bone with contrast Left	700246004	Computed tomography of temporal bone with contrast (procedure)	U13.6	Computed tomography of bone							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z63.3	Temporal bone											
CTBNRC	CT Temporal bone with contrast Right	700246004	Computed tomography of temporal bone with contrast (procedure)	U13.6	Computed tomography of bone							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z63.3	Temporal bone											
CTEMP	CT Temporal bones	429869002	Computed tomography of temporal bone (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z63.3	Temporal bone											
CTHIB	CT Upper leg Both	241572009	Computed tomography of thigh (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z90.3	Upper leg NEC											
CTHIBC	CT Upper leg with contrast Both	430432006	Computed tomography of thigh with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z90.3	Upper leg NEC											
CTHIL	CT Upper leg Lt	241572009	Computed tomography of thigh (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.3	Upper leg NEC											
CTHILC	CT Upper leg with contrast Lt	430432006	Computed tomography of thigh with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z90.3	Upper leg NEC											
CTHIR	CT Upper leg Rt	241572009	Computed tomography of thigh (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.3	Upper leg NEC											
CTHIRC	CT Upper leg with contrast Rt	430432006	Computed tomography of thigh with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z90.3	Upper leg NEC											
CTHOD	DECT Thorax	721040001	Dual energy computed tomography of thorax (procedure)	U07.1	Computed tomography of chest							Y98.1	Radiology of one body area (or < 20 minutes)																	
CTHSPT	CT Spine thoracic myelogram	241591009	Computed tomography myelogram of thoracic region (procedure)	A55.2	Spinal myelography NEC	U05.4	Computed tomography of spine					Y98.1	Radiology of one body area (or < 20 minutes)					Z06.2	Thoracic spinal cord											
CTHUB	CT Thumb Both	430431004	Computed tomography of thumb (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z89.5	Thumb NEC											
CTHUL	CT Thumb Lt	430431004	Computed tomography of thumb (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.5	Thumb NEC											
CTHUR	CT Thumb Rt	430431004	Computed tomography of thumb (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.5	Thumb NEC											
CTHXG	Gated CT thorax	858161000000109	Electrocardiography gated computed tomography of thorax (procedure)	U07.1	Computed tomography of chest							Y98.1	Radiology of one body area (or < 20 minutes)																	
CTHYDN	CT Guided aspiration thyroid	440498006	Percutaneous aspiration of thyroid using computed tomography guidance (procedure)	B12.5	Percutaneous drainage of lesion of thyroid gland							Y22.2	Aspiration of other lesion of organ NOC	Y53.3	Approach to organ under computed tomography scan control															
CTKIL	CT Kidney triple phase Left	446224008	Computed tomography triple phase study of kidney (procedure)	U37.2	Computed tomography of kidneys							Y98.1	Radiology of one body area (or < 20 minutes)																	
CTKIR	CT Kidney triple phase Right	446224008	Computed tomography triple phase study of kidney (procedure)	U37.2	Computed tomography of kidneys							Y98.1	Radiology of one body area (or < 20 minutes)																	
CTLSPN	CT Thoracic and lumbar spine	702487007	Computed tomography of thoracic and lumbar spine (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z66.4	Thoracic vertebra	Z66.5	Lumbar vertebra									N
CTLVT	CT Transplanted liver	911771000000107	Computed tomography of transplanted liver (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z30.1	Liver NEC											
CTLVTB	CT Guided biopsy transplanted liver	911791000000106	Biopsy of transplanted liver using computed tomography guidance (procedure)	J14.1	Biopsy of liver NEC							Y53.3	Approach to organ under computed tomography scan control																	
CTLVTC	CT Transplanted liver with contrast	911781000000109	Computed tomography of transplanted liver with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z30.1	Liver NEC											
CTMJB	CT Temporomandibular joint Both	241528006	Computed tomography of temporomandibular joints (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z65.2	Temporomandibular joint											
CTNRTJ	CT Guided nerve root injection thoracic	430446006	Injection of thoracic spinal nerve root using computed tomography guidance (procedure)	A57.7	Injection of therapeutic substance around spinal nerve root							Y53.3	Approach to organ under computed tomography scan control					Z07.2	Spinal nerve root of thoracic spine											
CTOEB	CT Toes Both	429853009	Computed tomography of toe (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z90.7	Toe NEC											
CTOEL	CT Toes Lt	429853009	Computed tomography of toe (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.7	Toe NEC											
CTOER	CT Toes Rt	429853009	Computed tomography of toe (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.7	Toe NEC											
CTPABC	CT Triple phase adrenals with Cont Both	1111441000000108	Computed tomography triple phase of bilateral adrenal glands with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z14.4	Adrenal gland											N
CTPAP	CT Triple phase abdomen and pelvis Cont	912331000000104	Computed tomography triple phase study of abdomen and pelvis with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z92.6	Abdomen NEC									O16.1	Pelvis NEC	
CTPKBC	CT Triple phase kidney with contrast B	1111801000000107	Computed tomography triple phase of bilateral kidneys with contrast (procedure)	U37.2	Computed tomography of kidneys							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z94.1	Bilateral operation											N
CTSBT	CT Transplanted small bowel	913191000000106	Computed tomography of transplanted small intestine (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z27.7	Small intestine											
CTSFJJ	CT Facet joint injection thoracic	430454008	Injection of thoracic zygapophyseal joint using computed tomography guidance (procedure)	V54.4	Injection around spinal facet of spine	V55.9	Unspecified levels of spine					Y53.3	Approach to organ under computed tomography scan control					Z67.4	Thoracic intervertebral joint											
CTSPN	CT Spine thoracic	241579000	Computed tomography of thoracic spine (procedure)	U05.4	Computed tomography of spine							Y98.1	Radiology of one body area (or < 20 minutes)					Z66.4	Thoracic vertebra											
CTSPNC	CT Spine thoracic with contrast	113105001	Computerized axial tomography of thoracic spine with contrast (procedure)	U05.4	Computed tomography of spine							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z66.4	Thoracic vertebra											
CTSPNM	CT 3D mobile Intra-op thoracic spine	1087121000000109	Mobile intraoperative three-dimensional computed tomography of thoracic spine (procedure)	U05.4	Computed tomography of spine							Y98.1	Radiology of one body area (or < 20 minutes)	Y98.6	Mobile and or intraoperative procedures of any/all body areas			Z66.4	Thoracic vertebra											
CTUBOC	CT Tubogram	836431000000108	Computed tomography of tube device with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CUPAB	CT Upper arm Both	241565008	Computed tomography of upper arm (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z89.2	Upper arm NEC											
CUPABC	CT Upper arm with contrast Both	431746002	Computed tomography of upper arm with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z89.2	Upper arm NEC											
CUPAL	CT Upper arm Lt	241565008	Computed tomography of upper arm (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.2	Upper arm NEC											
